question,answer
Do we get commissions if the phone number used is different from the phone number linked with the Aadhaar card?,"No, only the number linked with Aadhaar should be used, otherwise, you won't earn any commission. Axis will let the customer do a Video KYC to get the account opened."
Can we open an account using our phone on behalf of the customer?,"No, you should avoid using your phone number to open a customer's account. You might not be eligible for commissions"
If the customer journey breaks due to a network error then how to proceed?,"No, if a customer's journey is broken, you will not be attributed for the account opened."
Whom should we target for opening Axis Bank Saving Account?,An ideal customer is any adult who does online shopping and has a reasonable online spend.
Can we open multiple Accounts at the same address and from the same phone?,"No, ideally you should not open multiple accounts on the same address. Multiple accounts might lead to issues with attribution at the discretion of Axis Bank"
Is it mandatory to get the customer's E Nach for attribution?,"No, E Nach is not mandatory. The attribution will be paid once the customer has paid the ₹599 (including GST) as the card opening fee."
What is the maximum credit limit for a customer?,The maximum limit for any customer is ₹2 Lakh.
When will I get my payout?,You will receive the payout within 7-10 days once the customer has paid for the card opening fees.
How much time does it take to get the card approved?,The approval is instant and the customer will not have to wait for the same.
Can I open multiple cards in the same household?,"Yes, you can open multiple cards in the same household given that they meet the criteria set by Bajaj."
Does Bajaj check the CIBIL or check the income of the customer?,"Yes, Bajaj does check the CIBIL of the customer but the customer is not needed to provide an income proof during the onboarding process."
What is the Bajaj Insta EMI card?,Bajaj Insta EMI card helps convert all the customer's purchases into easy EMIs. The Insta EMI card involves a 100% online process and is activated instantly
What documents does the customer need to submit to get an Insta EMI card?,"The customer does not need to submit any documents but will be required to keep the following details handy at the time of onboarding: PAN Card number, Aadhaar number, Bank A/C number, and IFSC code for e-mandate registration"
How will the customer register his/her e-mandate?,"Customer will have to share their Bank Account and IFSC code, verify all the details entered by them and submit OTP for validation purposes"
How will the customer be able to use the Bajaj Finserv Insta EMI Card?,The Customer can shop using the Insta EMI card at any of Bajaj's online and offline partner stores on easy EMI's. The customer will only be required to provide their card details and verify the purchase with an OTP sent to their registered mobile number
When will the customer receive the Insta EMI card?,The Insta EMI card is a digital card that can be accessed on your customer's phone instantly without the hassle of carrying it like a physical card.
Where can the customer view the Insta Card?,The customer can view the Card details on the Bajaj Finserv App.
What will happen if my customer's pincode is not on the acceptable pincode list?,The Customer will be eligible and can get themselves the card but Bajaj will not share the attribution for the same with us and we will not be able to pass on the commission to you.
What is Fi?,"Fi is a financial app that comes with an in-built savings account, though some people prefer calling it a 'Neobank'. Fi uses cutting edge technology which helps you in growing your money."
Is Fi a Bank?,"No, they are not a bank. They have partnered with RBI-licensed Federal Bank where the customers access Fi's technology for Savings Account & also get a VISA debit card."
What are the benefits of Fi?,"Some benefits are Zero balance savings account, 100% digital & paperless, Best returns on savings with smart deposit, Instant withdrawal from any ATM with no forex charges, Instant & Hassle free payments."
How much time does it take to open an account?,The account will be opened instantly and the customer will not have to wait for the same.
Can I open multiple accounts from the same device?,"No, you cannot open multiple accounts from the same device."
What happens if the customer provides a referral link during the onboarding journey? Will the attribution be paid?,"No. You will not be eligible for a commission if the customer adds a referral code during Sign Up process. Also note, the customer should have an existing relationship with Fi."
What documents does the customer need to provide in the onboarding journey?,The customer will have to keep his/her Aadhaar & Pan card handy. Their mobile number should be linked with their Aadhaar card.
When will I get my payout?,You will receive the payout within 7-10 days of the lead being marked success.
What happens if the customer provides a referral link during the onboarding journey? Will the attribution be paid?,"No, you will not be eligible for a commission if the customer adds a referral code during sign up process. Also note, the customer should not have an existing relationship with Fi."
What is NiyoX Digital Savings Account by Equitas?,NiyoX is a 2-in-1 savings and wealth management account in partnership with Equitas Small Finance Bank and VISA. It has 10L+ active users since its launch in March 2021.
What are the benefits of NiyoX Digital Savings Account by Equitas?,"Some benefits are Zero balance savings account, Best returns on savings with an interest rate up to 7%, Zero Account Maintenance charges, Ability to track all your investments in one place powered by Niyo Money and 0% commission on mutual fund investments."
How much time does it take to open an account?,The account will be opened instantly and the customer will not have to wait for the same.
Can I open multiple accounts from the same device?,"No, You cannot open multiple accounts from the same device."
What documents does the customer need to provide in the onboarding journey?,"The customer will have to keep their Aadhaar card, Pan card handy. Their mobile no should be linked with their Aadhaar card."
What are the documents required during the onboarding journey?,PAN card & Adhaar card
What are the documents required during the onboarding journey?,PAN card & Adhaar card
When will I get my payout?,You will receive the payout within 7-10 days once the customer has successfully made a first trade
What is the minimum age required to open the account?,The minimum age of the customer should be 18.
Does the customer need to have their mobile no registered with their Adhaar card?,"Yes, the customer’s mobile no should be registered with their Adhaar card."
Will I receive the payout if the customer has an existing relationship with HDFC Securities?,"No, you will not receive the payout if the customer is already an existing relation of HDFC. Securities."
Will the customer have to pay an AMC in the first year?,"No, the customer will not have to pay an AMC for the first year."
Is it mandatory to make a trade once the account has opened?,"Yes, it is mandatory for the customer to make a trade within the first 7 days from the account opening date."
What are the documents required during the onboarding journey?,The customer will not have to upload any documents during the journey. They should have their adhaar number and PAN number handy with them during the process.
When will I get my payout?,You will receive the payout within 7-10 days once your customer's credit limit has been activated.
What are the benefits of Zest Money?,"0% interest, no joining fees, Personalised credit limit of up to ₹2,00,000. Accepted at 10,000 online stores and 75,000 physical retail stores, 3-step fast approval process - no paperwork, no credit card needed."
How much time will it take to get the credit limit activated?,The credit limit will be activated instantly but in some cases it might take upto 48 hours for the limit to get activated.
Will I receive the payout if the customer has an existing relationship with Zest Money?,"No, you will not receive the payout if the customer is already an existing member of Zest Money"
What is the ideal target audience which I should target for Zest Money?,"The idea target audience for Zest money is a customer whose age is between 22-45, is salaried and earns between ₹20,000 & ₹50,000."
What is GroMo?,"GroMo is a financial product reselling platform where you can sell multiple financial products such as Demat account, Savings account, Credit account, etc. to your customers. You can earn a good commission by selling these products. Watch this video to know more about GroMo: <a href=""https://youtu.be/Bl-_x6vo7t8"">https://youtu.be/Bl-_x6vo7t8</a>"
How can I earn though Gromo?,"We have multiple financial products on GroMo which you can easily sell to your customers, be it friends, family or other people in your network. You can open a Savings account, Demat account, Credit Card, EMI card for your customers and earn a good commission for every sale you make."
How much can I earn through GroMo?,There is no limit to which you can earn. You can earn more than ₹1 Lakh per month like many of our Partners.
What are financial products?,Financial products are new age products that have various advantages for the customers. They are fully digital and a customer can get their account setup in just 5-10 minutes. Do read more about the products and their benefits on the product page.
Where can I check my sale status?,"You can check the status of your customer by clicking the ""Customers"" option on the home page."
Why has my sale status not changed?,"It usually takes 10 days for us to receive an update from the brands. We immediately update all customer status' on your app. In case, your customer status is not updated, please write to us at contact@gromo.in and send us the relevant proofs of the successful sale to help us escalate to the brands. This will enable us resolve your issue faster."
When will I receive my payout?,"For all your successful sales, you can transfer your money instantly to your bank account in just one-click, once the sale status has been marked ""Success"". Please be assured that your payout is 100% safe and we never block any payments :)"
I have done a sale but the same is showing pending on GroMo?,"Once you have made the sale, it takes 10 days to update the sale status as ""Success"" on the GroMo app. You can check your status here on: <a href=""https://gromo.page.link/khkG"">https://gromo.page.link/khkG</a>"
I have an issue with the amount received & there is a mismatch in my payout?,"We advise you to reconfirm the transactions in your wallet here <a href=""https://gromo.page.link/qvBi"">https://gromo.page.link/qvBi</a> Please contact our support team if you still feel there is an issue in the amount."
Can I earn money by referring my friends on GroMo?,"You can earn flat ₹2,100 and 5% of their income when your friends signup on GroMo using your referral code and start earning at GroMo"
Why have I not received my referral payout?,"Please check whether your friend has completed their 5th customer sale within 30 days of registration. If still you have not received your payout, please refer to referral T&Cs: https://gromo.in/term-condition#rp"
What is GroMo?,"GroMo is a financial product reselling platform where you can sell multiple financial products such as Demat account, Savings account, Credit account, etc. to your customers. You can earn a good commission by selling these products. Watch this video to know more about GroMo:<a href=""https://youtu.be/Bl-_x6vo7t8"">https://youtu.be/Bl-_x6vo7t8</a>"
How can I earn though Gromo?,"We have multiple financial products on GroMo which you can easily sell to your customers, be friends, family or other people in your network. You can open a Savings account, Demat account, Credit Card ,EMI card etc. for your customers and make a good commission for every successful sale."
How much can I earn through GroMo?,There is no limit to which you can earn. You can earn more than ₹1 Lakh per month like many of our partners.
What are financial products?,Financial products are new age products that have various advantages for the customers. They are fully digital and a customer can get their account setup in just 5-10 minutes. Do read more about the products and their benefits on the product page.
Where can I check my sale status?,"You can check the status of your customer on clicking the ""Customers"" option on the home page."
Why has my sale status not changed?,"It usually takes 10 days for us to receive an update from the brands. We immediately update all customer status' on your app. In case, your customer status is not updated, please write to us at contact@gromo.in and send us the relevant proofs of the successful sale to help us escalate to the brands. This will enable us resolve your issue faster."
When will I receive my payout?,"For all your successful sales, you can transfer your money instantly to your bank account in 1-click, once the customer status has been marked ""Success"". Please be assured that your payout is 100% safe and we never block any payments :)"
I have done a sale but I have not received the payout?,"Once the sale is made, it takes 10 days to update the sale status as ""Success"" on the GroMo app. You can transfer your money instantly once the sale has been marked ""Success"". Please be assured that your payout is 100% safe and we never block any payments :)"
I have done a sale but the same is showing pending on GroMo?,"Once you have made the sale, it takes 10 days to update the sale status as ""Success"" on the GroMo app. You can check your status here on: <a href=""https://gromo.page.link/khkG"">https://gromo.page.link/khkG</a>"
I am unable to get my bank verfied on the GroMo APP?,"Please click on ""Edit Profile"" and go to the ""Bank Verification"" section to add your Bank account. Please enter only the correct Bank Details & PAN number. Make sure that your name on the PAN card matches the name in your Bank account, otherwise the verification will get rejected. If you still face an issue, we suggest you contact our support team for help. You can upload your bank statement/cancelled cheque & PAN card for our team to verify your account. It might take 2-4 days for the manual verification process."
Can I earn money by referring my friends on GroMo?,"You can earn flat ₹2,100 and 5% of their income when your friends signup on GroMo using your referral code and start earning at GroMo"
Why have I not received my referral payout?,"Please check whether your friend has completed their 5th customer sale within 30 days of registration. If still you have not received your payout, please refer to referral T&Cs: https://gromo.in/term-condition#rp"
Where my referral needs to apply referral code while registering on the GroMo application?,"As soon as your referral signs up after installing the GroMo application using your referral link, his referral code will automatically be prefilled."
What is the benefit for the customer to open the Axis Direct Demat Account?,"Axis Direct Demat account offers the lowest brokerage charges at ₹10 per trade, zero Annual maintenance charges for the first year as well as 4X e-margin for intraday trading."
Is it mandatory to pay the account opening fees?,"Yes, it is mandatory for the customer to pay the account opening fees of  ₹499 for you to be eligible for the payout."
What are the documents required during the onboarding journey?,"PAN card, Aadhaar card, Canceled cheque & last 6 months bank statement."
What is the ideal customer whom I should target for Axis Direct Demat Account?,The ideal customer will be someone whose age is between 25 years & 45 years and earns more than ₹2 Lakh annually.
When will I get my payout?,You will receive the payout within 7-10 days after the customer has opened a Demat account & has paid the account opening fees.
What is the minimum age required to open the account?,The minimum age of the customer should be 18.
Does the customer need to have their mobile no registered with their Aadhaar card?,"Yes, the customer’s mobile number should be registered with their Aadhaar card."
Will I receive the payout if the customer has an existing relationship with Axis Securities?,"No, you will not receive the payout if the customer is already an existing relation of Axis Securities."
Will the customer have to pay an AMC in the first year?,"No, the customer will not have to pay an AMC for the first year."
What is covered under one Onsitego subscription?,"The plan includes 3 maintenance service visits and unlimited repair visits by Onsite-go engineers to the customer's premise per year for which the plan is taken. The plan covers the majority of the home appliances and digital devices in any home namely AC, Washing Machine, Water Purifier, Chimney, Hob, Refrigerator, TV, Microwave Oven, Vacuum Cleaner, Geyser, Laptop and Smartphone."
What is the term of the Home Care Basic Plan?,The term for this plan is 1 year from the date of purchase.
Can I take more than 1 service on same appliance?,"Yes, there is no restriction on the service taken at an appliance level. You can take 3 maintenance visits on 1 device or 3 separate devices. In addition, unlimited repair visits are included."
Do I need to list the appliance at the time of purchase?,"No, you can list the appliance when the service is needed. There is no need to pre-inform."
Can I take service on appliances in warranty?,"Yes, there is no restriction. However, Onsitego would not be responsible for status of warranty post service."
When would the plan start?,Plan will be auto active from the next day after purchase.
How do I ensure quality of service delivered?,All engineers who visit the premises for service are authorised by Onsite-go.
Can the plan continue if I change my address?,"Yes, the plan can be carried over to a new address as long as Onsitego Home Care Plan is available in that city. However, breakdown support or installation/un-installation due to location change cannot be provided."
Can I use one plan at multiple addresses?,"No, the plan is only applicable for 1 residence and the services cannot be taken at multiple locations, unless there is any relocation to a city where Onsitego is providing Home Care Plan."
Are any consumables like filters covered in the plan? What if consumables or spares are needed?,"This is a service only plan and hence consumables or spare parts are not included.However, you can purchase them from Onsitego at competitive rates to market."
What happens if a breakdown is detected during a maintenance visit?,"Since the plan covers unlimited breakdown visits, Onsitego will take care of the repair requirement. However, any consumable or spare part will need to be paid for separately."
What if the customer wants to cancel the subscription & get a refund?,"Onsite go will certainly refund the plan within 15 days of purchase of the plan, provided the customer’s have not availed any service."
Are there any restrictions on which devices are included in the plan?,"Home Care Plan covers AC, Washing Machine, Water Purifier, Chimney, Hob, Refrigerator,TV, Microwave Oven, Vacuum Cleaner, Geyser, Laptop and Smartphone up to 10 years of age.Built-in devices and devices used for commercial set up are not included."
How can I request for a service?,"The customer can visit <a href=""www.onsitego.com/request-a-service"">www.onsitego.com/request-a-service</a> & select the appliance they wish to avail the service on and On site go will send an expert engineer to their home within 48 hours.Alternatively, the customer can call us on 1800 220 506 and request for a service"
When will I get my payout?,You will receive the payout 15 days once the customer has successfully purchased the subscription.
Can we open an account using our phone on behalf of the customer?,"No, you should avoid using your phone number to open a customer's account. You will not be eligible for commissions"
"If I schedule maintenance for 2 devices in my house, will it count as 1 service visit or 2 service visits?","Service visit depends on number of devices. If you call the professional for maintenance of 2 devices, it will be counted as 2 service visits. "
Whom should we target for opening Onsitego Account?,"An ideal customer is a family or group of friends staying together, having over 4-5 appliances at home including TV, fridge, AC, Microwave, etc & lives in Delhi NCR,Bangalore or Mumbai."
Can we open multiple Accounts at the same address and from same phone?,"No, you should ideally not open multiple accounts on the same address. Multiple accounts might not lead to issues with attribution at the discretion of Onsitego"
What are the documents required during the onboarding journey?,"PAN card, Aadhaar card, Cancelled Cheque."
What is the minimum age required to open the account?,The minimum age of the customer should be 18.
Does the customer need to have their mobile no registered with their Adhaar card?,"Yes, the customer’s mobile number should be registered with their Aadhaar card."
Will I receive the payout if the customer has an existing relationship with 5paisa.,"No, you will not receive the payout if the customer is already an existing relation of 5paisa."
Will the customer have to pay an AMC(Annual Maintenance charges) in the first year?,"No, the customer will not have to pay an AMC for the first year."
Is it mandatory for the customer to purchase gold once the account has opened?,"Yes, it is mandatory for the customer to buy digital gold for you to earn your payout."
What are the documents required during the onboarding journey?,"There are no documents required to create an account.The customer will only have to get themselves mobile OTP verified to open an account but  will have to complete their KYC if they want to invest more than 50,000."
When will I get my payout?,"You will receive the payout after 14 days of account opening, once the customer has successfully done at-least 1 investment."
What is the minimum age required to open the account?,The minimum age of the customer should be 18.
Will I receive the payout if the customer has an existing relationship with India Gold?,"No, you will not receive the payout if the customer has an existing relation with India Gold."
Can I convert my digital gold into physical gold?,"Yes, you can convert your digital gold into physical gold at any time. You can refer the Indiagold website for the process."
Will I receive payout for all transactions done by customers?,"No, You will receive a payout for the first 3 transactions (digital gold purchase) done by the customer or transactions done in the first 14 days, whichever is earlier."
What can the Dhanush demat account be used for?,"Dhanush Demat account can be used to invest in stocks, derivatives, IPOs and more."
What are the documents required to open a Dhanush Demat account?,"PAN Card , Aadhar Card , Passport size photograph , Income proof , Webcam for personal identification , Cancelled personalised cheque , Signature in white paper "
What is the minimum age required for opening a Dhanush Demat account?,The age of the customer should be 21 years and above.
How long will it take to open the Dhanush Demat account?,It will take 15 minutes to open the Dhanush Demat account.
"If my customer has an existing relationship with Dhanush, will I be eligible for payout?","No, if your customer already has an existing relationship with Dhanush, you will not be eligible for payout."
Will I be attributed if the customer is already a customer of Axis Bank?,"Yes, you will receive the attribution even if the customer is already an Axis Bank customer given that they have not applied for an Axis Bank credit card before."
What are the documents required during the onboarding journey?,"Only the customer’s PAN card, Aadhar card, Income Proof is required."
What is the minimum age required to apply for a credit card?,The minimum age of the customer should be 21.
Does the customer need to have their mobile no registered with their Aadhaar card?,"Yes, the customer’s mobile number should be registered with their Aadhaar card."
Will the customer have to open an account with Axis bank to be eligible for a credit card?,"No, there is no need for the customer to open up a bank account with Axis to be eligible for a credit card."
What are the benefits of an IndusInd Bank Credit Card?,"IndusInd credit cards offer something to every customer depending on his/her financial needs. They offer benefits ranging from rewards, cashback to entertainment and dining offers."
What are the charges applicable on the IndusInd Credit Card?,"Interest charges and Late Payment charges are applicable, if the minimum due amount is not paid by the due date. Overlimit charges are applicable if the total outstanding dues on the credit card exceeds the assigned credit limit."
What is the minimum age  to apply for an IndusInd Credit Card?,Minimum age when applying for the credit card should be 21 years.
What should the minimum income be in order to apply for the IndusInd Credit Card?,"The net monthly income needs to be a minimum of Rs. 25,000."
Is it necessary to provide current bank account statements?,"No, it’s not compulsory to provide current bank account statements but remember that providing current bank account statements make the users eligible to get a better credit card variant."
Is it mandatory to deposit funds once the account has opened?,"AU Digital Savings Account is a Zero balance account. However, if the customer deposits Rs. 5001 or more while opening the bank account, you will get additional payout."
What are the documents required during the onboarding journey?,PAN card & Aadhar card
When will I get my payout?,"You will receive the payout within 7-10 days, once the customer has successfully opened the account"
What is the minimum age required to open the account?,The minimum age of the customer should be 25 years.
Does the customer need to have their mobile no. registered with their Aadhar card?,"Yes, the customer’s mobile number should be registered with their Aadhar card."
Will I receive the payout if the customer has an existing relationship with AU small finance bank?,"No, you will not receive the payout if the customer is already an existing relation of AU small finance bank."
Will I receive payout if the customer provides a referral code during the onboarding journey?,"No, you will not receive the payout if the customer provides a referral code at the time of the onboarding journey."
Is it mandatory to deposit funds once the account has opened?,"Yes, it is mandatory to deposit a minimum of ₹2000 in the account and keep this balance for at least 15 days."
What are the documents required during the onboarding journey?,PAN card & Aadhar card
Does the customer need to have their mobile no. registered with their Aadhar card?,"Yes, the customer’s mobile no. should be registered with their Aadhar card."
Will I receive the payout if the customer has an existing relationship with IndusInd bank?,"No, You will not receive the payout if the customer provides a referral code at the time of the onboarding journey."
Is it mandatory to make a trade once the account has opened?,"Yes, it is mandatory for the customer to make an investment of ₹800 within 30 days of signing up on Mudrex."
What are the documents required during the onboarding journey?,PAN card & Aadhaar card
When does my lead get marked as success,Your lead gets marked a success within 4-7 days of first successful trade done by the customer
When will I get my payout?,You will get your payout instantly after your lead is marked as success. It will be credited to your wallet and can be transferred to your bank account by you anytime.
What is the minimum age required to open the account?,Customer should be minimum 18 years old for opening a Mudrex account
Does the customer need to have their mobile no registered with their Aadhar card?,"Yes, the customer’s mobile no. should be registered with their Aadhar card."
Will I receive the payout if the customer has an existing relationship with Mudrex,"No, you will not receive the payout if the customer is already an existing relation of Mudrex"
Will the lead be attributed if my customer is already a customer of ICICI Bank?,"Yes, you will receive the attribution even if the customer is already an ICICI Bank customer given that they have not applied for an ICICI bank credit card before."
